Utility,Facility Name,Location,KM/MFM/ MV Panel Ref#,Meter Reading Date,Meter Reading,Consumption Month,Consumption,Previous Date,Previous Reading,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/1, 23b Assal Circle",194950,7/24/2024,19250,Jul-24,4823,6/24/2024,14427,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/2, 23a Assal Circle",194951,7/24/2024,21542,Jul-24,4610,6/24/2024,16932,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/3, 23d Assal Circle",194952,7/24/2024,8804,Jul-24,3518,6/24/2024,5286,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/4, 23c Assal Circle",194953,7/24/2024,20572,Jul-24,4790,6/24/2024,15782,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/5, 23f Assal Circle",194946,7/24/2024,20010,Jul-24,4658,6/24/2024,15352,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/6, 23e Assal Circle",194947,7/24/2024,17008,Jul-24,3825,6/24/2024,13183,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/7, 23h Assal Circle",194948,7/24/2024,15894,Jul-24,3198,6/24/2024,12696,
Electricity,ECCH Lot #1 - Tenant Area,"2A1/8, 23g Assal Circle",194949,7/24/2024,14727,Jul-24,4517,6/24/2024,10210,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/1, 31b Assal Circle",195045,7/24/2024,9103,Jul-24,2743,6/24/2024,6360,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/2, 31a Assal Circle",195046,7/24/2024,18407,Jul-24,4483,6/24/2024,13924,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/3, 31d Assal Circle",195047,7/24/2024,23669,Jul-24,5515,6/24/2024,18154,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/4, 31c Assal Circle",195048,7/24/2024,20311,Jul-24,4192,6/24/2024,16119,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/5, 31f Assal Circle",195049,7/24/2024,19830,Jul-24,5055,6/24/2024,14775,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/6, 31e Assal Circle",195050,7/24/2024,19555,Jul-24,4934,6/24/2024,14621,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/7, 31h Assal Circle",195052,7/24/2024,11800,Jul-24,3106,6/24/2024,8694,
Electricity,ECCH Lot #1 - Tenant Area,"2A10/8, 31g Assal Circle",195051,7/24/2024,12202,Jul-24,4318,6/24/2024,7884,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/1, 21b Assal Circle",194959,7/24/2024,3822,Jul-24,1085,6/24/2024,2737,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/2, 21a Assal Circle",194960,7/24/2024,14054,Jul-24,3144,6/24/2024,10910,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/3, 21d Assal Circle",194961,7/24/2024,14401,Jul-24,4069,6/24/2024,10332,
Electricity,ECCH Lot #1 - Tenant Area,"2A2/4, 21c Assal Circle",194962,7/24/2024,24563,Jul-24,5469,6/24/2024,19094,
